backbone,concept,hr,lr,gap
dense_clip_xlmr_base,car,0.6329870211632633,0.6057498573719512,0.027237163791312136
dense_clip_xlmr_base,truck,0.600031537302296,0.5168814870815348,0.08315005022076116
dense_clip_xlmr_base,bus,0.6148825214134199,0.6093301684140816,0.005552352999338317
dense_clip_xlmr_base,person,0.5402763425175154,0.4462686331107495,0.09400770940676595
dense_clip_xlmr_base,pedestrian,0.6106293072514389,0.4170728223480213,0.19355648490341765
dense_clip_xlmr_base,traffic_light,0.5997081177385488,0.4730275875567911,0.12668053018175773
dense_clip_xlmr_base,traffic_sign,0.5810248506052026,0.41966568471269056,0.16135916589251204
dense_clip_xlmr_base,bicycle,0.6387117422765171,0.5330725743325397,0.10563916794397732
dense_clip_xlmr_base,motorcycle,0.6096702159758549,0.524776593994024,0.08489362198183092
dense_clip_xlmr_base,road,0.6402098702862248,0.38378370119598015,0.2564261690902446
dense_clip_xlmr_base,building,0.6666849833974541,0.5460705359349539,0.12061444746250016
dense_clip_xlmr_large,car,0.652793154394236,0.5906113841555364,0.06218177023869964
dense_clip_xlmr_large,truck,0.6360846162732356,0.550024438652251,0.08606017762098461
dense_clip_xlmr_large,bus,0.6266315700354307,0.5869626717572741,0.03966889827815656
dense_clip_xlmr_large,person,0.49484585339070986,0.34830826906344986,0.14653758432726
dense_clip_xlmr_large,pedestrian,0.5692873891065957,0.34922929265878633,0.22005809644780938
dense_clip_xlmr_large,traffic_light,0.6659202090409612,0.5251630325081574,0.14075717653280373
dense_clip_xlmr_large,traffic_sign,0.6811159837391485,0.43696148778968663,0.24415449594946187
dense_clip_xlmr_large,bicycle,0.5311387628199514,0.4396748565926698,0.09146390622728162
dense_clip_xlmr_large,motorcycle,0.5748706236780506,0.5167358100054698,0.05813481367258089
dense_clip_xlmr_large,road,0.6795530425237312,0.3373802911500625,0.34217275137366865
dense_clip_xlmr_large,building,0.5709010107424547,0.43088226651063316,0.14001874423182153
