Backbone,Visual params (M),n paired obs,Mean IoU (HR),Mean IoU (LR),HR-LR IoU gap,Wilcoxon HR>LR p,Wh / 1K queries,Avg watts,Total Wh
XLM-R base + ViT-B/32,87,"2,310",0.6123,0.4978,+0.1145,<1e-300,3.868,98.9,116.15
XLM-R large + ViT-H/14,632,"2,310",0.6076,0.4647,+0.1428,<1e-300,3.358,99.3,100.85
