backbone,display,vis_params_M,lang,lang_name,low_resource,iou_cluster_mask,iou_thresh_0.15,iou_thresh_0.20,iou_thresh_0.25,iou_pct_90,iou_pct_95,iou_pct_99,spearman,pearson,peak_ref,peak_lang,mean_ref,mean_lang,peak_ratio_lang_over_ref,n_clusters_ref,n_clusters_lang,center_dist_symmetric,n_samples,family
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,ar,Arabic,True,0.5300285185669539,0.5674780521978882,0.34854353836066104,0.9420465814110681,0.416074197294499,0.35069965030157146,0.2735481398289753,0.7970321895469401,0.8179516354551563,0.2018154957787299,0.2150888856677782,0.1443670098560971,0.15316386143172975,1.0728502767386463,5.583982683982684,5.384415584415584,32.506155630483136,2310.0,Semitic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,ca,Catalan,False,0.6252822286812482,0.43787592960890026,0.43075851978638413,0.9881836175234708,0.5269261840789826,0.46501612721868,0.3807926283056693,0.8898871557322899,0.9032110605405007,0.2018154957787299,0.18911784087102135,0.1443670098560971,0.12663777923751704,0.9416491921566408,5.583982683982684,5.816017316017316,26.382240680956777,2310.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,de,German,False,0.6356691643446636,0.5566329665196512,0.4604995942189752,0.97318460742831,0.5367669149237992,0.4696671535717125,0.38270106298998496,0.8965828103969168,0.9099517141843771,0.2018154957787299,0.19595399134796418,0.1443670098560971,0.13283303786407819,0.9718861960076195,5.583982683982684,5.699134199134199,25.631023778319687,2310.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999601345557,0.2018154957787299,0.2018154957787299,0.1443670098560971,0.1443670098560971,1.0,5.583982683982684,5.583982683982684,0.0,2310.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,es,Spanish,False,0.6535185924893648,0.522450045976976,0.43635515599035846,0.987012987012987,0.5556599780411959,0.4930463003192966,0.41003556827773807,0.9120859674140883,0.9233160542203235,0.2018154957787299,0.19450787490645013,0.1443670098560971,0.13216966183541656,0.9680328494943625,5.583982683982684,5.710822510822511,24.72934291247533,2310.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,eu,Basque,True,0.4993652660706793,0.36815985697724274,0.4058622935952908,0.9878787878787879,0.3906214270116121,0.324461065249151,0.24252281717538263,0.717724289177634,0.7308603775433519,0.2018154957787299,0.18523739800824748,0.1443670098560971,0.12752921620617697,0.9286301544997647,5.583982683982684,5.653246753246753,34.48755038242393,2310.0,Isolate
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,fr,French,False,0.6449780436695538,0.5646357156528509,0.4503582569221443,0.9874675324675325,0.5500047646344085,0.48666217826545144,0.4017104848754048,0.8996839055116552,0.9117039847941626,0.2018154957787299,0.19443724919836242,0.1443670098560971,0.13409984577850345,0.9655864842457829,5.583982683982684,5.732900432900433,25.100164244192385,2310.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,it,Italian,False,0.6516532453857525,0.5243384313409567,0.4689316945609299,0.9878787878787879,0.5544118526302955,0.4897406307986507,0.40060307540829027,0.9090268573383503,0.9205340007940929,0.2018154957787299,0.19196562561573405,0.1443670098560971,0.12907694344332207,0.9535397110623418,5.583982683982684,5.705194805194806,24.880513475608666,2310.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,lb,Luxembourgish,True,0.4639788461041809,0.3938556390186988,0.4186660492334005,0.9843775301420177,0.34518638075744673,0.27657036278045166,0.19752130711768137,0.6673009280532765,0.6797525100244685,0.2018154957787299,0.1866129997908037,0.1443670098560971,0.1351919692767647,0.9309273861272792,5.583982683982684,5.496536796536796,37.483095390956876,2310.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,87,pt,Portuguese,False,0.6475793512145672,0.574890667868239,0.4552557685847262,0.984029654075358,0.5418829805500339,0.47580462261778383,0.3867176715122215,0.9035819992551604,0.9149717231849571,0.2018154957787299,0.199513667802532,0.1443670098560971,0.13707329014808067,0.9925424507270308,5.583982683982684,5.64978354978355,25.176648997052244,2310.0,Romance
