backbone,display,concept,lang,lang_name,low_resource,iou_cluster_mask,iou_thresh_0.15,iou_thresh_0.20,iou_thresh_0.25,iou_pct_90,iou_pct_95,iou_pct_99,spearman,pearson,peak_ref,peak_lang,mean_ref,mean_lang,peak_ratio_lang_over_ref,n_clusters_ref,n_clusters_lang,center_dist_symmetric,n_samples,family
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,ar,Arabic,True,0.5777124407293122,0.8889644353097115,0.518902154263962,0.722941082481047,0.4445380738387536,0.3831745673520356,0.2965263284212776,0.8764306161491652,0.8898245751857757,0.23267697060392017,0.24083264824889955,0.17782769557975586,0.17808388095526467,1.0361144772092368,5.095238095238095,4.4,34.71024526665729,210.0,Semitic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,ca,Catalan,False,0.6110152118411496,0.5227416381297378,0.09979284097595714,0.8985912213296077,0.47650555357100405,0.42761257835043137,0.3778729664955691,0.9049058769431643,0.9164589782555898,0.23267697060392017,0.2099605626293591,0.17782769557975586,0.1453114288903418,0.9028975632334642,5.095238095238095,5.309523809523809,28.479736767021503,210.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,de,German,False,0.6672330950090256,0.6829437163092584,0.22871206864802035,0.8902489356796637,0.5389484986875256,0.4856324067787289,0.416757240413033,0.9301114385470021,0.9375483816578275,0.23267697060392017,0.21863289929571605,0.17782769557975586,0.15619330501982143,0.9399897217138424,5.095238095238095,5.195238095238095,24.918642495332115,210.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,en,English,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999954870769,0.23267697060392017,0.23267697060392017,0.17782769557975586,0.17782769557975586,1.0,5.095238095238095,5.095238095238095,0.0,210.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,es,Spanish,False,0.6563828642362098,0.5975222685485192,0.12004744382704893,0.8904761904761904,0.5213839262849012,0.4695144459219713,0.42131737313885365,0.9256264684040499,0.9346230963865916,0.23267697060392017,0.21116283386945725,0.17782769557975586,0.15027179664799145,0.9078117514564344,5.095238095238095,5.247619047619048,24.937926889100883,210.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,eu,Basque,True,0.6214798307725221,0.713442379138515,0.15598956588002785,0.8952380952380953,0.4932602986166852,0.4348060520279187,0.3565637023290751,0.8814363057732554,0.8940538395018804,0.23267697060392017,0.210577802218142,0.17782769557975586,0.15772824840886251,0.905347104848144,5.095238095238095,5.595238095238095,27.803806562143084,210.0,Isolate
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,fr,French,False,0.6711509573086107,0.6886468103256727,0.18477647342056724,0.8904761904761904,0.5523806705791615,0.5034873904998244,0.42899440959628005,0.9279561890054152,0.9354267018181938,0.23267697060392017,0.21567812945161546,0.17782769557975586,0.15595107192084903,0.9271477784441126,5.095238095238095,5.266666666666667,25.686748627976904,210.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,it,Italian,False,0.6713611838879464,0.6887024006112553,0.2033438883708133,0.8904761904761904,0.5458926600593033,0.49045430683586794,0.42423519776219654,0.9289567820951369,0.9355918058327266,0.23267697060392017,0.21577086186125166,0.17782769557975586,0.15634856504343805,0.9276862024249546,5.095238095238095,5.219047619047619,24.345404462737896,210.0,Romance
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,lb,Luxembourgish,True,0.6180573006140194,0.9083042095631185,0.5500250126548134,0.8519623553717192,0.48171533304370157,0.41335584998569663,0.31584700563775536,0.885607973118483,0.8946312217485337,0.23267697060392017,0.23182520965735118,0.17782769557975586,0.18056283642848334,0.9974441930626304,5.095238095238095,5.085714285714285,29.551447062631844,210.0,Germanic
dense_clip_xlmr_base,XLM-R base + ViT-B/32,car,pt,Portuguese,False,0.6737267627906528,0.7285277942665769,0.23404497410818695,0.8857142857142857,0.539720522030076,0.48465987781311215,0.4340149427299294,0.9244397411339881,0.9321400415329706,0.23267697060392017,0.21745549454575494,0.17782769557975586,0.15897494813516028,0.9347814653928143,5.095238095238095,5.29047619047619,24.188045772440724,210.0,Romance
